      1 "L. grayi
      1 "L. innocua
      1 "L. ivanovii
      2 A. acidoterrestris
      9 A. actinomycetemcomitans
     31 A. alternata
     12 A. awamori
      2 A. bacillus
     14 A. baumanii
    676 A. baumannii
      1 A. brasiliensis
      1 A. brassicae
     27 A. brassicicola
      2 A. brassicola
     57 A. calcoaceticus
      2 A. carrageenovora
     13 A. caviae
      6 A. cinerea
      2 A. dauci
     15 A. faecalis
      1 A. favus
      1 A. fla
     87 A. flavus
      1 A. fumigates
    120 A. fumigatus
      2 A. giganteus
     33 A. globiformis
      4 A. green
      4 A. helianthi
      2 A. hydrohila
     88 A. hydrophila
      4 A. israelii
     15 A. johnsonii
     19 A. junii
     14 A. laidlawii
      2 A. longipes
      1 A. lwoffi
      1 A. lwoffii
      1 A. molecular
      5 A. myeloid
     12 A. naeslundii
     20 A. nidulans
    100 A. niger
      1 A. ochraceus
      4 A. oryzae
     14 A. parasiticus
      9 A. pisi
      4 A. pullulans
      2 A. punctata
      4 A. rabiei
      8 A. radiobacter
      8 A. rhizogenes
    113 A. salmonicida
     18 A. simii
     18 A. sobria
      1 A. solani
     36 A. sp
      2 A. sp.
      5 A. terreus
     24 A. tumefaciens
      2 A. tumerfaciens
      1 A. umigates
      4 A. ustus
      7 A. veronii
      3 A. versicolor
      1 A. vinelandii
     44 A. viridans
      6 A. viscosus
      2 A. wieringae
      9 A. xylosoxidans
     12 B. abortus
      2 B. alvei
      2 B. amyloliquefaciens
     95 B. anthracis
      5 B. bassiana
      1 B. brevis
     22 B. bronchiseptica
      5 B. cenocepacia
     29 B. cepacia
    488 B. cereus
    151 B. cinerea
     17 B. circulans
     26 B. coagulans
     44 B. dendrobatidis
     99 B. dysenteriae
      5 B. dysenterium
      1 B. elliptica
      2 B. epiphytus
      2 B. equi
      1 B. flexus
     11 B. fragilis
      2 B. globigii
     59 B. licheniformis
      3 B. longum
      7 B. magaterium
      2 B. maydis
    400 B. megaterium
      2 B. megateriun
      1 B. megateriurm
     15 B. megatherium
      1 B. mycoides
      5 B. negaterium
      1 B. pertussis
      2 B. petunia
      1 B. proteus
      3 B. pumilu
     50 B. pumilus
    286 B. pyocyaneus
      1 B. s
      7 B. simplex
     11 B. sorokiniana
      1 B. sp
      2 B. sp.
      4 B. sphaericus
      3 B. spp
      1 B. stabilis
     18 B. stationis
      3 B. stearothermophilus
   2398 B. subtilis
      3 B. subtillis
      3 B. suis
     41 B. thailandensis
      2 B. thuringensis
     54 B. thuringiensis
      1 B. ﬂexus
      4 C. acutatum
      1 C. albican
   2860 C. albicans
      4 C. aquatilis
      1 C. beticola
      2 C. bifermentans
      3 C. botulinum
      1 C. bouis
      2 C. bovis
      1 C. columnare
      1 C. comatus
     10 C. difficile
     16 C. diphtheriae
